简称	行政区划全称	区划代码	省名	区划类别	批注	首府驻地	副省级
京	北京市	110000	北京	直辖市	首都	通州区	
津	天津市	120000	天津	直辖市		河西区	
冀	河北省	130000	河北	省		石家庄市	
晋	山西省	140000	山西	省		太原市	
蒙	内蒙古自治区	150000	内蒙古	自治区	1947年成立自治区	呼和浩特市	
辽	辽宁省	210000	辽宁	省		沈阳市	TRUE
吉	吉林省	220000	吉林	省		长春市	TRUE
黑	黑龙江省	230000	黑龙江	省		哈尔冰市	
沪	上海市	310000	上海	直辖市		黄浦区	
苏	江苏省	320000	江苏	省		南京市	TRUE
浙	浙江省	330000	浙江	省		杭州市	TRUE
皖	安徽省	340000	安徽	省		合肥市	
闽	福建省	350000	福建	省		福州市	
赣	江西省	360000	江西	省		南昌市	
鲁	山东省	370000	山东	省		济南市	TRUE
豫	河南省	410000	河南	省		郑州市	
鄂楚	湖北省	420000	湖北	省		武汉市	TRUE
湘	湖南省	430000	湖南	省		长沙市	
粤	广东省	440000	广东	省		广州市	TRUE
桂	广西壮族自治区	450000	广西	自治区	1958年成立自治区	南宁市	
琼	海南省	460000	海南	省	1988年建省	海口市	
渝	重庆市	500000	重庆	直辖市	1997年设立直辖市	渝中区	
川蜀	四川省	510000	四川	省		成都市	TRUE
贵黔	贵州省	520000	贵州	省		贵阳市	
云滇	云南省	530000	云南	省		昆明市	
藏	西藏自治区	540000	西藏	自治区	1965年成立自治区	拉萨市	
陕秦	陕西省	610000	陕西	省		西安市	TRUE
甘陇	甘肃省	620000	甘肃	省		兰州市	
青	青海省	630000	青海	省		西宁市	
宁	宁夏回族自治区	640000	宁夏	自治区	1958年成立自治区	银川市	
新	新疆维吾尔自治区	650000	新疆	自治区	1955年成立自治区	乌鲁木齐市	
	新疆生产建设兵团	660000	新疆兵团	建设兵团	1954年成立		
台	台湾省	710000	台湾	省	革命尚未成功	台北市	
港	香港特别行政区	810000	香港	特别行政区	1997年回归祖国		
澳	澳门特别行政区	820000	澳门	特别行政区	1999年回归祖国		